ex,section,no_opt_size_dec,opt_size_dec,diff_dec,no_opt_size_hex,opt_size_hex,diff_hex
ex1,.ARM.attributes,53,53,0,0x35,0x35,0x0
ex1,.ARM.exidx,8,8,0,0x8,0x8,0x0
ex1,.bss,50256,53864,3608,0xc450,0xd268,0xe18
ex1,.comment,103,103,0,0x67,0x67,0x0
ex1,.data,64,64,0,0x40,0x40,0x0
ex1,.rodata,3784,3776,-8,0xec8,0xec0,0xfffffffffffffff8
ex1,.text,39384,35760,-3624,0x99d8,0x8bb0,0xfffffffffffff1d8
ex1,Total,497695,466981,-30714,0x7981f,0x72025,0xffffffffffff8806
ex2,.ARM.attributes,53,53,0,0x35,0x35,0x0
ex2,.ARM.exidx,8,8,0,0x8,0x8,0x0
ex2,.bss,52148,55928,3780,0xcbb4,0xda78,0xec4
ex2,.comment,103,103,0,0x67,0x67,0x0
ex2,.data,64,64,0,0x40,0x40,0x0
ex2,.rodata,3836,3816,-20,0xefc,0xee8,0xffffffffffffffec
ex2,.text,39584,35784,-3800,0x9aa0,0x8bc8,0xfffffffffffff128
ex2,Total,499971,469188,-30783,0x7a103,0x728c4,0xffffffffffff87c1
ex3,.ARM.attributes,53,53,0,0x35,0x35,0x0
ex3,.ARM.exidx,8,8,0,0x8,0x8,0x0
ex3,.bss,54048,57992,3944,0xd320,0xe288,0xf68
ex3,.comment,103,103,0,0x67,0x67,0x0
ex3,.data,64,64,0,0x40,0x40,0x0
ex3,.rodata,3888,3856,-32,0xf30,0xf10,0xffffffffffffffe0
ex3,.text,39784,35808,-3976,0x9b68,0x8be0,0xfffffffffffff078
ex3,Total,502253,471395,-30858,0x7a9ed,0x73163,0xffffffffffff8776
ex4,.ARM.attributes,53,53,0,0x35,0x35,0x0
ex4,.ARM.exidx,8,8,0,0x8,0x8,0x0
ex4,.bss,55940,60056,4116,0xda84,0xea98,0x1014
ex4,.comment,103,103,0,0x67,0x67,0x0
ex4,.data,64,64,0,0x40,0x40,0x0
ex4,.rodata,3940,3896,-44,0xf64,0xf38,0xffffffffffffffd4
ex4,.text,39984,35832,-4152,0x9c30,0x8bf8,0xffffffffffffefc8
ex4,Total,504527,473603,-30924,0x7b2cf,0x73a03,0xffffffffffff8734
ex5,.ARM.attributes,53,53,0,0x35,0x35,0x0
ex5,.ARM.exidx,8,8,0,0x8,0x8,0x0
ex5,.bss,57840,62120,4280,0xe1f0,0xf2a8,0x10b8
ex5,.comment,103,103,0,0x67,0x67,0x0
ex5,.data,64,64,0,0x40,0x40,0x0
ex5,.rodata,3992,3936,-56,0xf98,0xf60,0xffffffffffffffc8
ex5,.text,40184,35856,-4328,0x9cf8,0x8c10,0xffffffffffffef18
ex5,Total,506811,475809,-31002,0x7bbbb,0x742a1,0xffffffffffff86e6
