ex,section,r_size_dec,tr_no_opt_size_dec,tr_opt_size_dec,d_trnoopt_vs_r_dec,d_tropt_vs_r_dec,d_tropt_vs_trnoopt_dec,r_size_hex,tr_no_opt_size_hex,tr_opt_size_hex,d_trnoopt_vs_r_hex,d_tropt_vs_r_hex,d_tropt_vs_trnoopt_hex
ex1,.ARM.attributes,53,53,53,0,0,0,0x35,0x35,0x35,0x0,0x0,0x0
ex1,.ARM.exidx,8,8,8,0,0,0,0x8,0x8,0x8,0x0,0x0,0x0
ex1,.bss,61560,50256,53864,-11304,-7696,3608,0xf078,0xc450,0xd268,0xffffffffffffd3d8,0xffffffffffffe1f0,0xe18
ex1,.comment,103,103,103,0,0,0,0x67,0x67,0x67,0x0,0x0,0x0
ex1,.data,64,64,64,0,0,0,0x40,0x40,0x40,0x0,0x0,0x0
ex1,.rodata,61476,3784,3776,-57692,-57700,-8,0xf024,0xec8,0xec0,0xffffffffffff1ea4,0xffffffffffff1e9c,0xfffffffffffffff8
ex1,.text,199756,39384,35760,-160372,-163996,-3624,0x30c4c,0x99d8,0x8bb0,0xfffffffffffd8d8c,0xfffffffffffd7f64,0xfffffffffffff1d8
ex1,Total,1313521,497695,466981,-815826,-846540,-30714,0x140af1,0x7981f,0x72025,0xfffffffffff38d2e,0xfffffffffff31534,0xffffffffffff8806
ex2,.ARM.attributes,53,53,53,0,0,0,0x35,0x35,0x35,0x0,0x0,0x0
ex2,.ARM.exidx,8,8,8,0,0,0,0x8,0x8,0x8,0x0,0x0,0x0
ex2,.bss,63464,52148,55928,-11316,-7536,3780,0xf7e8,0xcbb4,0xda78,0xffffffffffffd3cc,0xffffffffffffe290,0xec4
ex2,.comment,103,103,103,0,0,0,0x67,0x67,0x67,0x0,0x0,0x0
ex2,.data,64,64,64,0,0,0,0x40,0x40,0x40,0x0,0x0,0x0
ex2,.rodata,61564,3836,3816,-57728,-57748,-20,0xf07c,0xefc,0xee8,0xffffffffffff1e80,0xffffffffffff1e6c,0xffffffffffffffec
ex2,.text,199908,39584,35784,-160324,-164124,-3800,0x30ce4,0x9aa0,0x8bc8,0xfffffffffffd8dbc,0xfffffffffffd7ee4,0xfffffffffffff128
ex2,Total,1315798,499971,469188,-815827,-846610,-30783,0x1413d6,0x7a103,0x728c4,0xfffffffffff38d2d,0xfffffffffff314ee,0xffffffffffff87c1
ex3,.ARM.attributes,53,53,53,0,0,0,0x35,0x35,0x35,0x0,0x0,0x0
ex3,.ARM.exidx,8,8,8,0,0,0,0x8,0x8,0x8,0x0,0x0,0x0
ex3,.bss,65368,54048,57992,-11320,-7376,3944,0xff58,0xd320,0xe288,0xffffffffffffd3c8,0xffffffffffffe330,0xf68
ex3,.comment,103,103,103,0,0,0,0x67,0x67,0x67,0x0,0x0,0x0
ex3,.data,64,64,64,0,0,0,0x40,0x40,0x40,0x0,0x0,0x0
ex3,.rodata,61652,3888,3856,-57764,-57796,-32,0xf0d4,0xf30,0xf10,0xffffffffffff1e5c,0xffffffffffff1e3c,0xffffffffffffffe0
ex3,.text,200060,39784,35808,-160276,-164252,-3976,0x30d7c,0x9b68,0x8be0,0xfffffffffffd8dec,0xfffffffffffd7e64,0xfffffffffffff078
ex3,Total,1318072,502253,471395,-815819,-846677,-30858,0x141cb8,0x7a9ed,0x73163,0xfffffffffff38d35,0xfffffffffff314ab,0xffffffffffff8776
ex4,.ARM.attributes,53,53,53,0,0,0,0x35,0x35,0x35,0x0,0x0,0x0
ex4,.ARM.exidx,8,8,8,0,0,0,0x8,0x8,0x8,0x0,0x0,0x0
ex4,.bss,67272,55940,60056,-11332,-7216,4116,0x106c8,0xda84,0xea98,0xffffffffffffd3bc,0xffffffffffffe3d0,0x1014
ex4,.comment,103,103,103,0,0,0,0x67,0x67,0x67,0x0,0x0,0x0
ex4,.data,64,64,64,0,0,0,0x40,0x40,0x40,0x0,0x0,0x0
ex4,.rodata,61740,3940,3896,-57800,-57844,-44,0xf12c,0xf64,0xf38,0xffffffffffff1e38,0xffffffffffff1e0c,0xffffffffffffffd4
ex4,.text,200212,39984,35832,-160228,-164380,-4152,0x30e14,0x9c30,0x8bf8,0xfffffffffffd8e1c,0xfffffffffffd7de4,0xffffffffffffefc8
ex4,Total,1320346,504527,473603,-815819,-846743,-30924,0x14259a,0x7b2cf,0x73a03,0xfffffffffff38d35,0xfffffffffff31469,0xffffffffffff8734
ex5,.ARM.attributes,53,53,53,0,0,0,0x35,0x35,0x35,0x0,0x0,0x0
ex5,.ARM.exidx,8,8,8,0,0,0,0x8,0x8,0x8,0x0,0x0,0x0
ex5,.bss,69176,57840,62120,-11336,-7056,4280,0x10e38,0xe1f0,0xf2a8,0xffffffffffffd3b8,0xffffffffffffe470,0x10b8
ex5,.comment,103,103,103,0,0,0,0x67,0x67,0x67,0x0,0x0,0x0
ex5,.data,64,64,64,0,0,0,0x40,0x40,0x40,0x0,0x0,0x0
ex5,.rodata,61828,3992,3936,-57836,-57892,-56,0xf184,0xf98,0xf60,0xffffffffffff1e14,0xffffffffffff1ddc,0xffffffffffffffc8
ex5,.text,200364,40184,35856,-160180,-164508,-4328,0x30eac,0x9cf8,0x8c10,0xfffffffffffd8e4c,0xfffffffffffd7d64,0xffffffffffffef18
ex5,Total,1322621,506811,475809,-815810,-846812,-31002,0x142e7d,0x7bbbb,0x742a1,0xfffffffffff38d3e,0xfffffffffff31424,0xffffffffffff86e6
