dir,object,section,size_hex,size_dec
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text,0x00000000,0
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text._RNvCsgYTF1aGAkck_7___rustc17rust_begin_unwind,0x00000004,4
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text._RNvCsgYTF1aGAkck_7___rustc17rust_begin_unwind,0x00000008,8
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor1_symmetric_task1,0x000000c8,200
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor1_symmetric_task1,0x00000008,8
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor1_symmetric_task2,0x00000018,24
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor1_symmetric_task2,0x00000008,8
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor2_symmetric_task2,0x00000018,24
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor2_symmetric_task2,0x00000008,8
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.rodata.str1.1,0x0000001c,28
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.bss._ZN5itron13tecs_celltype10t_taskbody33RPROCESSOR1SYMMETRIC_TASKBODY1VAR17h237a449069eff965E.0,0x00000004,4
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.bss._ZN5itron13tecs_celltype10t_taskbody33RPROCESSOR1SYMMETRIC_TASKBODY2VAR17he272aecbc2e6d5e6E.0,0x00000004,4
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.bss._ZN5itron13tecs_celltype10t_taskbody33RPROCESSOR2SYMMETRIC_TASKBODY2VAR17h814fdcf88d915bbcE.0,0x00000004,4
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.comment,0x00000035,53
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.note.GNU-stack,0x00000000,0
ex2_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.attributes,0x00000034,52
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.text,0x00000000,0
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.text._ZN4core3fmt3num50_$LT$impl$u20$core..fmt..Debug$u20$for$u20$i32$GT$3fmt17h7a0e08473eadbc5bE,0x00000020,32
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.ARM.exidx.text._ZN4core3fmt3num50_$LT$impl$u20$core..fmt..Debug$u20$for$u20$i32$GT$3fmt17h7a0e08473eadbc5bE,0x00000008,8
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.text._ZN75_$LT$core..num..nonzero..NonZero$LT$T$GT$$u20$as$u20$core..fmt..Display$GT$3fmt17h850f84802fa3eaddE,0x00000020,32
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.ARM.exidx.text._ZN75_$LT$core..num..nonzero..NonZero$LT$T$GT$$u20$as$u20$core..fmt..Display$GT$3fmt17h850f84802fa3eaddE,0x00000008,8
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.text._ZN60_$LT$itron..error..ErrorCode$u20$as$u20$core..fmt..Debug$GT$3fmt17hf3b2cd5bb64ff3e9E,0x000002c4,708
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.ARM.exidx.text._ZN60_$LT$itron..error..ErrorCode$u20$as$u20$core..fmt..Debug$GT$3fmt17hf3b2cd5bb64ff3e9E,0x00000008,8
ex2_opt,itron-fbcb73bf0b635dd5.itron.68e737fdf62a80e5-cgu.0.rcgu.o,.text._ZN67_$LT$itron..dataqueue..DataqueueRef$u20$as$u20$core..fmt..Debug$GT$3fmt17h5b31219d7835aa6dE,0x00000058,88
