dir,section,size_hex,size_dec,addr_hex
ex3_no_opt,.text,0x9b68,39784,0x100000
ex3_no_opt,.rodata,0xf30,3888,0x109b68
ex3_no_opt,.ARM.exidx,0x8,8,0x10aa98
ex3_no_opt,.data,0x40,64,0x10aaa0
ex3_no_opt,.bss,0xd320,54048,0x10aae0
ex3_no_opt,.comment,0x67,103,0x0
ex3_no_opt,.ARM.attributes,0x35,53,0x0
ex3_no_opt,.debug_aranges,0x748,1864,0x0
ex3_no_opt,.debug_info,0x28e38,167480,0x0
ex3_no_opt,.debug_abbrev,0x709c,28828,0x0
ex3_no_opt,.debug_line,0x13fc8,81864,0x0
ex3_no_opt,.debug_frame,0x19c8,6600,0x0
ex3_no_opt,.debug_str,0x4d31,19761,0x0
ex3_no_opt,.debug_loc,0x13c34,80948,0x0
ex3_no_opt,.debug_ranges,0x4240,16960,0x0
ex3_no_opt,Total,0x7a9ed,502253,
