dir,object,section,size_hex,size_dec,addr_hex
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text,0x0,0,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text._RNvCsgYTF1aGAkck_7___rustc17rust_begin_unwind,0x4,4,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text._RNvCsgYTF1aGAkck_7___rustc17rust_begin_unwind,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor1_symmetric_task1,0xc8,200,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor1_symmetric_task1,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor1_symmetric_task2,0xc8,200,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor1_symmetric_task2,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor1_symmetric_task3,0xc8,200,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor1_symmetric_task3,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor1_symmetric_task4,0xc8,200,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor1_symmetric_task4,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor2_symmetric_task2,0xc8,200,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor2_symmetric_task2,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.text.tecs_rust_start_r_processor2_symmetric_task3,0xc8,200,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.ARM.exidx.text.tecs_rust_start_r_processor2_symmetric_task3,0x8,8,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.rodata.str1.1,0x1c,28,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.bss._ZN5itron13tecs_celltype10t_taskbody33RPROCESSOR1SYMMETRIC_TASKBODY1VAR17h237a449069eff965E.0,0x4,4,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.bss._ZN5itron13tecs_celltype10t_taskbody33RPROCESSOR1SYMMETRIC_TASKBODY2VAR17he272aecbc2e6d5e6E.0,0x4,4,0x0
ex5_no_opt,itron-528262448061405f.itron.a156bf51bbd98ffe-cgu.0.rcgu.o,.bss._ZN5itron13tecs_celltype10t_taskbody33RPROCESSOR1SYMMETRIC_TASKBODY3VAR17h2a47887b862437c0E.0,0x4,4,0x0
